,titles,Tfidf,BERT,GloVe,Score,label
0,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288,1.0
1,Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003,1.0
2,Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651,1.0
3,People Development Coordinator at Ryan,0.035722851,0.6389729,0.512606907,0.6389729,1.0
4,Advisory Board Member at Celal Bayar University,0.148657826,0.58967435,0.737181208,0.58967435,1.0
5,Aspiring Human Resources Specialist,0.281644163,0.7023107,0.065309691,0.7023107,1.0
6,Student at Humber College and Aspiring Human Resources Generalist,0.055388855,0.629257,0.266039949,0.629257,1.0
7,HR Senior Specialist,0.281644163,0.7023107,0.705534143,0.7023107,1.0
8,Student at Humber College and Aspiring Human Resources Generalist,0.149043324,0.5197734,0.266039949,0.5197734,1.0
9,Seeking Human Resources HRIS and Generalist Positions,0.055595184,0.55103076,0.230000782,0.55103076,1.0
10,Student at Chapman University,0.02405312,0.6446765,0.698451168,0.6446765,1.0
11,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",0.06358818,0.6185253,0.662272555,0.6185253,1.0
12,Human Resources Coordinator at InterContinental Buckhead Atlanta,1.0,1.0,0.425909368,1.0,1.0
13,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,1.0,1.0,0.448482757,1.0,1.0
14,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288,1.0
15,Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003,1.0
16,Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651,1.0
17,People Development Coordinator at Ryan,1.0,1.0,0.512606907,1.0,1.0
18,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288,1.0
19,Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003,1.0
20,Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651,1.0
21,People Development Coordinator at Ryan,0.035722851,0.6389729,0.512606907,0.6389729,1.0
22,Advisory Board Member at Celal Bayar University,0.148657826,0.58967435,0.737181208,0.58967435,1.0
23,Aspiring Human Resources Specialist,0.281644163,0.7023107,0.065309691,0.7023107,1.0
24,Student at Humber College and Aspiring Human Resources Generalist,0.055388855,0.629257,0.266039949,0.629257,1.0
25,HR Senior Specialist,0.074640128,0.7000693,0.705534143,0.7000693,1.0
26,Aspiring Human Resources Management student seeking an internship,0.123789398,0.46012574,0.182718598,0.46012574,0.0
27,Seeking Human Resources Opportunities,0.074640128,0.7000693,0.148487129,0.7000693,1.0
28,Aspiring Human Resources Management student seeking an internship,0.123789398,0.46012574,0.182718598,0.46012574,0.0
29,Seeking Human Resources Opportunities,1.0,1.0,0.148487129,1.0,1.0
30,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288,1.0
31,Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003,1.0
32,Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651,1.0
