titles,Tfidf,BERT,GloVe,Score
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288
Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003
Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651
People Development Coordinator at Ryan,0.035722851,0.6389729,0.512606907,0.6389729
Advisory Board Member at Celal Bayar University,0.148657826,0.58967435,0.737181208,0.58967435
Aspiring Human Resources Specialist,0.281644163,0.7023107,0.065309691,0.7023107
Student at Humber College and Aspiring Human Resources Generalist,0.055388855,0.629257,0.266039949,0.629257
HR Senior Specialist,0.281644163,0.7023107,0.705534143,0.7023107
Student at Humber College and Aspiring Human Resources Generalist,0.149043324,0.5197734,0.266039949,0.5197734
Seeking Human Resources HRIS and Generalist Positions,0.055595184,0.55103076,0.230000782,0.55103076
Student at Chapman University,0.02405312,0.6446765,0.698451168,0.6446765
"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",0.06358818,0.6185253,0.662272555,0.6185253
Human Resources Coordinator at InterContinental Buckhead Atlanta,1,1,0.425909368,1
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,1,1,0.448482757,1
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288
Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003
Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651
People Development Coordinator at Ryan,1,1,0.512606907,1
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.028659544,0.5723288,0.448482757,0.5723288
Native English Teacher at EPIK (English Program in Korea),0.286827042,0.61155003,0.572107344,0.61155003
Aspiring Human Resources Professional,0.046445928,0.637651,0.07433728,0.637651
People Development Coordinator at Ryan,0.035722851,0.6389729,0.512606907,0.6389729
