titles,Tfidf,BERT,GloVe,Score
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.021120411,0.50051576,0.533415276,0.50051576
Native English Teacher at EPIK (English Program in Korea),0.263218374,0.42656708,0.571195939,0.42656708
Aspiring Human Resources Professional,0.034227939,0.48300242,0.20077979,0.48300242
People Development Coordinator at Ryan,0.026325657,0.4990284,0.470552207,0.4990284
Advisory Board Member at Celal Bayar University,0.128536687,0.3768292,0.704064038,0.3768292
Aspiring Human Resources Specialist,0.316883946,0.6411601,0.158215203,0.6411601
Student at Humber College and Aspiring Human Resources Generalist,0.040818354,0.45229453,0.398454348,0.45229453
HR Senior Specialist,0.316883946,0.6411601,0.701152462,0.6411601
Student at Humber College and Aspiring Human Resources Generalist,0.135775594,0.36788887,0.398454348,0.36788887
Seeking Human Resources HRIS and Generalist Positions,0.040970407,0.38568646,0.126958671,0.38568646
Student at Chapman University,0.017725745,0.47762972,0.720944644,0.47762972
"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR",0.052612282,0.48139238,0.614368104,0.48139238
Human Resources Coordinator at InterContinental Buckhead Atlanta,1,0.9999998,0.391795797,0.9999998
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,1,0.9999998,0.533415276,0.9999998
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.021120411,0.50051576,0.533415276,0.50051576
Native English Teacher at EPIK (English Program in Korea),0.263218374,0.42656708,0.571195939,0.42656708
Aspiring Human Resources Professional,0.034227939,0.48300242,0.20077979,0.48300242
People Development Coordinator at Ryan,1,0.9999998,0.470552207,0.9999998
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.021120411,0.50051576,0.533415276,0.50051576
Native English Teacher at EPIK (English Program in Korea),0.263218374,0.42656708,0.571195939,0.42656708
Aspiring Human Resources Professional,0.034227939,0.48300242,0.20077979,0.48300242
People Development Coordinator at Ryan,0.026325657,0.4990284,0.470552207,0.4990284
Advisory Board Member at Celal Bayar University,0.128536687,0.3768292,0.704064038,0.3768292
Aspiring Human Resources Specialist,0.316883946,0.6411601,0.158215203,0.6411601
Student at Humber College and Aspiring Human Resources Generalist,0.040818354,0.45229453,0.398454348,0.45229453
HR Senior Specialist,0.07782456,0.67973566,0.701152462,0.67973566
Aspiring Human Resources Management student seeking an internship,0.107034252,0.3177612,0.201126472,0.3177612
Seeking Human Resources Opportunities,0.07782456,0.67973566,0.051746349,0.67973566
Aspiring Human Resources Management student seeking an internship,0.107034252,0.3177612,0.201126472,0.3177612
Seeking Human Resources Opportunities,1,0.9999998,0.051746349,0.9999998
2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,0.021120411,0.50051576,0.533415276,0.50051576
Native English Teacher at EPIK (English Program in Korea),0.263218374,0.42656708,0.571195939,0.42656708
Aspiring Human Resources Professional,0.034227939,0.48300242,0.20077979,0.48300242
People Development Coordinator at Ryan,0.026325657,0.4990284,0.470552207,0.4990284
Advisory Board Member at Celal Bayar University,0.128536687,0.3768292,0.704064038,0.3768292
Aspiring Human Resources Specialist,0.316883946,0.6411601,0.158215203,0.6411601
Student at Humber College and Aspiring Human Resources Generalist,0.040818354,0.45229453,0.398454348,0.45229453
HR Senior Specialist,0.316883946,0.6411601,0.701152462,0.6411601
Student at Humber College and Aspiring Human Resources Generalist,0.135775594,0.36788887,0.398454348,0.36788887
Seeking Human Resources HRIS and Generalist Positions,0.040970407,0.38568646,0.126958671,0.38568646
Student at Chapman University,0.017725745,0.47762972,0.720944644,0.47762972
